### Q28575, county : _wdadd_ 
Q7432250,"School Districts of Huron County
Q7884983,unified school district
Q7886773,union school district
Q10771871,independent school district
Q15726209,school district in the United States
Q42577368,intermediate school district of Michigan
Q64636958,school district of Oregon
Q15726214,school district of Canada
Q16997861,joint technological education district
Q63040043,school district of the U.S. Department of Defense
Q81268680,vocational school district
Q81268491,joint vocational school district
Q81269968,city school district
Q81270527,exempted village school district
Q81271307,local school district
Q475061,amphoe
Q505830,district of Sudan
Q545769,district of Ghana
Q585444,administrative district of Prague
Q74728036,administratief district van Praag
Q75338598,městská část Prahy
Q75339006,Praags territoriaal district
Q662914,district in Switzerland
Q628993,district of the canton of Valais
Q2864107,administrative district of the canton of Bern
Q2864207,constituency of the canton of Lucerne
Q3032116,district of the canton of Aargau
Q3032119,district of the canton of Basel-Land
Q3032122,district of the canton of Fribourg
Q3032124,district of the canton of Schwyz
Q3032126,district of the canton of Neuchâtel
Q3032131,district of the canton of Solothurn
Q3032132,district of the canton of Vaud
Q3032133,district of Canton Thurgau
Q3032137,district of the canton of Ticino
Q3032139,district of the canton of Jura
Q3091916,district of the canton of Graubünden
Q15644465,district of the canton of Zürich
Q17276572,constituency of the canton of St. Gallen
Q17278014,former district of Switzerland
Q692561,district of the canton of St. Gallen
Q3032123,district of the canton of Lucerne
Q3777387,former district of the canton of Bern
Q17277366,former district of the canton of Vaud
Q17277998,district of the canton of Schaffhausen
Q17312348,former subdistrict of the canton of Ticino
Q23013985,region of Graubünden
Q60299921,administrative district in the canton of Graubünden
Q690840,district of Ethiopia
Q3569918,special district of Ethiopia
Q705296,district of Taiwan
Q569614,Qingshui District
Q706308,Beimen District
Q765865,district of Belize
Q831889,dzongkhag
Q854138,Bezirksamt
Q917092,district of Paraguay
Q1058387,district of Malawi
Q1065118,district of China
Q1045593,county-controlled district
Q2301018,special district
Q4259749,Forestry District
Q4314954,ethnic district
Q5034569,urban district
Q17361228,forestry district
Q1122846,district of Japan
Q46426234,former district of Japan
Q1147395,district of Turkey
Q1230110,district of Sri Lanka
Q1230132,district of the Bahamas
Q1243603,14 regions of Augustan Rome
Q1649296,district of Suriname
Q1964165,province district in Belgium
Q1994931,district of Malaysia
Q2264478,district of Slovakia
Q13442503,Mestský okres (Slovensko)
Q2379075,district of Pakistan
Q2537537,district of Nepal
Q2631599,district of Uzbekistan
Q2655841,Municipality of Georgia
Q2679943,Gewest
Q2699727,stemdistrict
Q2702177,Nielsendistrict
Q2749147,Castellany
Q2755753,area of London
Q2935973,phytogeographic district
Q13232238,phytogeographic region of the Czech Republic
Q3533482,SS-Oberabschnitte
Q3539870,district of Uganda
Q3556789,district of Madagascar
Q3710483,district of Fiji
Q4057728,District of Yerevan
Q5283558,district of Zimbabwe
Q5283559,district of the Democratic Republic of the Congo
Q6617100,district of Yemen
Q7438320,scout district
Q10267322,state district of Brazil
Q12645496,Districts of Zagreb
Q12806962,District of Ljubljana
Q14942893,district of Papua New Guinea
Q15207445,fur-trading district
Q15618465,district of American Samoa
Q15630906,rural district
Q27002,selsoviet
Q1840504,national raion
Q4414033,rural council of Ukraine
Q15071808,selsaviet of Belarus
Q15982377,selsoviet of Russia
Q106658,rural district of Germany
Q17302772,rural district of Saxony-Anhalt
Q20738676,rural district of Baden-Württemberg
Q20738811,rural district of North Rhine-Westphalia
Q20738945,rural district of Thuringia
Q61708063,rural district of Saxony
Q61793460,rural district of Brandenburg
Q61818979,rural district of Saarland
Q61856889,rural district of Schleswig-Holstein
Q61980413,rural district of Hesse
Q85332736,rural district of Lower Saxony
Q85482556,rural district of Bavaria
Q85483234,rural district of Mecklenburg-Vorpommern
Q85493040,rural district of Rhineland-Palatinate
Q247073,powiat of Poland
Q925381,city with powiat rights
Q1631226,settlement council
Q21683299,settlement council  in Ukraine
Q1754946,"rural district of England
Q5283531,district of Prussia
Q12121054,Small rural settlements Ukraine
Q15633191,distrito
Q2179958,district of Peru
Q2292572,district of Costa Rica
Q3032103,districts of Colombia
Q3710488,district of Panama
Q5811429,distrito in Managua
Q17377631,district of Mexico
