### Q1077097, tambon- central government unit in Thailand : _wdadd_ 
Q85636199,urban district of Hamburg
Q448801,big district town
Q1548518,large district town
Q1548525,large independent city of Lower Saxony
Q3678424,city with special status
Q54935786,medium district town
Q100341898,market municipality of Germany
Q348884,Municipalsamhälle
Q13420058,Municipalsamhälle in Sweden
Q378508,municipality of Angola
Q484170,commune of France
Q2989454,commune nouvelle
Q20899166,regional capital (France)
Q22927548,commune in merger-association
Q22927616,commune of France with specific status
Q493522,municipality of Belgium
Q737681,municipalities with language facilities
Q4314343,language border municipality
Q15273785,Belgian municipality with city privileges
Q499073,direct-controlled municipality
Q515483,baladiyah
Q685320,municipality of Qatar
Q2989398,commune of Algeria
Q6629667,list of municipalities in Turkey
Q6936383,municipality of Lebanon
Q15650103,municipality of Libya
Q562061,market municipality
Q3374262,market town
Q609042,shtetl
Q16858213,town in Romania
Q16915447,Handelspladser i Danmark
Q100341898,market municipality of Germany
Q640364,municipiu of Romania
Q667509,municipality of Austria
Q262882,statutory city of Austria
Q1802801,rural municipality of Austria
Q19347965,former municipality of Austria
Q692680,Ortsgemeinde
Q41778911,Ortsgemeinde of Rhineland-Palatinate
Q719592,local council of Malta
Q747074,comune of Italy
Q954172,Comune sparso
Q3685476,abolished municipality in Italy
Q755707,municipality of Norway
Q11983070,rural municipality of Norway
Q18646840,divorce municipality
Q18663579,former municipality of Norway
Q99691499,kommune
Q856076,municipality of Finland
Q11722303,rural municipality of Sweden and Finland
Q11891850,skärgårdskommun
Q17468533,former municipality of Finland
Q856079,municipality of the Faroe Islands
Q96948740,former municipality of the Faroe Islands
Q955655,municipality of Iceland
Q1054813,municipality of Japan
Q494721,city of Japan
Q1137833,core city of Japan
Q1145012,special city of Japan
Q1749269,city designated by government ordinance
Q1059478,town of Japan
Q4174776,village of Japan
Q5327704,special ward of Japan
Q18663566,dissolved municipality of Japan
Q1155688,Thesaban
Q13025342,Thesaban Mueang
Q15141625,subdistrict municipality
Q15141632,Thesaban Nakhon
Q1208802,direct-controlled municipality
Q1232414,Großgemeinde
Q1307779,integrated municipality
Q15974307,Einheitsgemeinde of Germany
Q1349648,municipality of Greece
Q1381899,municipality of Vietnam
Q1410029,list of the municipi of Genoa
Q1500352,local municipality
Q1544184,Landgemeinde in Preußen
Q1633408,concelho
Q12712989,concelho of Cape Verde
Q13217644,municipality of Portugal
Q10423826,Azorernas kommuner
Q1758856,commune of Mali
Q1763214,municipio
Q263639,municipality of Puerto Rico
Q318727,municipality of Nicaragua
Q558330,municipality of Cuba
Q1062710,municipality of Bolivia
Q1872284,municipality of Guatemala
Q1952852,municipality of Mexico
Q2997091,municipality of Tamaulipas
Q3500564,municipality of Nuevo León
Q66126784,municipality of Sonora
Q2074737,municipality of Spain
Q2276925,municipality of Galicia
Q3284867,cendea of Navarre
Q5055981,Conceyu d'Asturies
Q20103881,Municipis de les Illes Balears amb la senyera
Q33146843,municipality of Catalonia
Q55863584,former municipality of Spain
Q61763947,municipality of Aragon
Q2555896,municipality of Colombia
Q2602693,municipality of Honduras
Q3243765,municipality of Argentina
Q3327920,municipality of Venezuela
Q3556889,municipality of El Salvador
Q3685434,municipality of Uruguay
Q6005581,municipality of the Dominican Republic
Q1840161,commune of Chile
Q1849719,municipal formation in Russia
Q634099,rural settlement of Russia
Q2115448,intra-city territory of a federal city
