### Q192810, graben : _wdadd_ 
Q192810,graben
Q88480,moat
Q91764,military trench
Q65055493,connecting trench
Q2047311,anti-tank trench
Q15709086,Moats
Q15848816,Stadtgraben
Q104177009,Burggraben
Q1432092,rille
Q50418595,prolom
