### Q123705, neighborhood : _wdadd_ 
Q61298320,"neighborhood in Brooklyn
Q329683,industrial park
Q190928,shipyard
Q452020,submarine pen
Q1745026,naval arsenal
Q4057902,Military shipyard
Q7374547,Royal Navy Dockyard
Q12885262,Ταρσανάς
Q19835481,Binnenschiffswerft
Q1281153,technology park
Q7315175,research park
Q1976594,science park
Q3475734,Science Parks of Wallonia
Q28843552,factory complex
Q30324022,organized industrial zone
Q338313,business park
Q1520456,business park of private company
Q1662100,industrial park
Q59772144,startup center
Q401315,Sestiere
Q1487089,Sestieri de Génova
Q3480608,Sestiere of Rapallo
Q3480610,Sestiere di Milano
Q449111,subdivision
Q2632264,rationele verkaveling
Q490329,dong
Q584571,Kiez
Q604435,microdistrict
Q627253,working class quarter
Q652541,poblacion
Q674950,residential area
Q2801464,woonschool
Q3558972,airpark
Q5215430,danchi
Q5916199,housing development
Q826553,Falowiec
Q2140144,tract housing
Q7315416,residence park
Q10715540,Residential Zone
Q11503991,新興住宅地
Q11505677,日本のニュータウン
Q18587469,residential community
Q864288,bioenergy village
Q985488,residential community of the People's Republic of China
Q17361402,community of the People's Republic of China
Q1074523,planned community
Q1656724,ideal city
Q1762524,planned community in France
Q6888356,model village
Q15840617,planned capital city
Q16014774,大韓民国の計画都市
Q41560536,Innovation City
Q41560536,Innovation City
Q56152103,Greenbelt town
Q65241205,ニュータウン
Q2373919,intentional community
Q161387,kibbutz
Q1567101,Hakhshara
Q2888533,Gesher HaZiv
Q7886462,Moshav shitufi
Q7900128,Urban kibbutz
Q16132253,גן הנוף הקיבוצי
Q295472,ecovillage
Q517760,commune
Q992194,Hutterite colony
Q1296717,Egalitarian community
Q4693952,Agricultural commune
Q4797182,art commune
Q917146,moshav
Q7886462,Moshav shitufi
Q992194,Hutterite colony
Q1107167,cohousing
Q7549943,sober living house
Q1762221,Neotribalism
Q1780633,religious intentional community
Q2148684,co-operative living arrangements
Q442993,group home
Q2002507,Notschlafstelle
Q2207993,Tehuis voor werkenden
Q3060146,tehuis voor niet-werkenden
Q2907285,youth village
Q2945522,nudist community
Q22907229,Christian Communities
Q29641323,Womyn's land
Q4691828,age-restricted community
Q1269448,retirement community
Q6980841,Naturally occurring retirement community
Q4677538,active adult housing
Q20818846,Molukse wijk
Q30493986,villa area
Q42402287,cité
Q738570,central business district
Q1050303,downtown
Q1468524,city center
Q11643712,都心等拠点地区
Q66364404,繁華街
Q748198,gay village
Q801738,Bahnhofsviertel
Q851110,district of Budapest
Q851124,List of neighborhoods of Budapest
Q860582,community area in Chicago
Q1014933,Burgfreiheit
Q1067867,Sestiere of Venice
Q1128906,medina quarter
Q1462091,várnegyed
Q1468524,city center
Q1622981,Hofe
Q1739536,inner city
Q1761572,barrio
Q17276937,ward of Madrid
Q10267336,neighborhood of Madrid
Q48784221,collación
Q64913082,neighborhood of Alicante
Q68979886,ward of Girona
Q68981550,Nord
Q75880277,barrio of El Salvador
Q1829505,tuindorp
Q1851368,waterfront
Q1940624,Banlieue
Q1969642,neighborhood of San Francisco
Q2170377,cauliflower neighborhhod
Q2191560,Skid row
Q2282602,housing estate
Q1563681,HICOG-Siedlung
Q12104567,housing estate
Q604435,microdistrict
Q1406988,grand ensemble
Q7246209,private housing estate in Hong Kong
Q14454091,Public Rental Housing
Q19754218,Home Ownership Scheme housing estate
Q5215430,danchi
Q14178148,proveniershuis
Q19760240,Eisenbahnersiedlung
Q102329612,Grasdachsiedlung
Q2441638,volksbuurt
Q2640310,residential areas and neighbourhoods in Arnhem
Q2648768,residential areas and neighbourhoods in Muiden
Q2650121,residential areas and neighbourhoods in Graft-De Rijp
Q2795367,neighborhood in Utrecht
Q2841546,neighborhood of Utrecht
Q3067318,Faubourgs of Montreal
Q3394564,Quarter of Luxembourg City
Q3413329,neighborhood in Boston
Q3413345,neighbourhood of Toulouse
Q3558430,villa
Q3578796,Ecodistrict
Q3610510,ethnic enclave
Q152018,ghetto
Q202509,Chinatown
Q3674986,Chinatowns in Europe
Q5100179,Chinatowns in Africa
Q5100181,Chinatowns in Asia
Q5100185,Chinatowns in the Middle East
Q904319,Koreatown
Q907231,Japantown
Q1544543,Greektown
Q2636673,aljama
Q9016264,Jewish quarter
Q1331767,Mellah
Q2583015,ghetto in Nazi-occupied Europe
Q2917049,Jewish ghetto in Europe
Q69465104,morería (neighborhood)
Q85875185,Morería (city)
Q6158221,Japanese Immigrant Villages in Taiwan
Q6650409,Little India
Q6650818,Little Manila
Q9016264,Jewish quarter
Q61729985,Little Italy
Q69465104,morería (neighborhood)
Q3689003,contrada
Q1231729,contrada of Siena
Q3689087,suppressed Contrada of Siena
Q3710552,cultural district
Q1797194,arts district
Q3055075,entertainment district
Q272888,red-light district
Q1574228,hanamachi
Q1060846,yūkaku
Q11374182,Kagai of Kyoto
Q11439934,hanamachi in Osaka
Q11502785,hanamachi in Niigata
Q11524038,hanamachi in Tokyo
Q11589724,hanamachi in Kobe
Q11647353,hanamachi in Kanazawa
Q3551273,Universal CityWalk
Q28148504,museum district
Q3927250,quarter of the city of Lugano
Q3927262,District of Salzburg
Q4057659,Subdivision of Kyiv
Q4286337,city district
Q137773,ward of Japan
Q5327704,special ward of Japan
Q65281628,行政区
Q205549,Zipserei
Q627253,working class quarter
Q702842,municipal arrondissement
Q679388,municipal arrondissement of Paris
Q2845944,former arrondissement of Paris
Q702869,municipal arrondissement of Lyon
Q702875,municipal arrondissement of Marseille
Q2845944,former arrondissement of Paris
Q1434401,dzielnica
Q9248451,Dzielnice Gdyni
Q1808877,deelgemeente
Q1852119,district of Graz
Q1985797,municipal unit of Greece
Q2740635,Stadtbezirk
Q253270,borough of Munich
Q278976,borough of Hamburg
Q317669,district of Düsseldorf
Q821435,borough of Berlin
Q13415859,Stadtbezirk in Wuppertal
Q15632133,city district of Cologne
Q15727673,city district of Hanover
Q17278423,district of Bremen
Q18600372,borough of Dresden
Q28050899,Stadtgebiet (Frankfurt (Oder))
Q31458588,Stadtbezirk von Bremerhaven
Q62269194,Stadtbezirke Aachens
Q96180429,city district of Langenhagen
Q2779745,urban district of the Netherlands
Q15079751,submunicipality of Amsterdam
Q2989468,Communes d'arrondissement of Senegal
Q3032114,district of Madrid
Q3565075,Raions of cities in Ukraine
Q3624938,city district of Brazil
Q5283507,district of Davao City
Q7553685,municipal district of Bulgaria
Q8561193,district of Valencia
Q13582281,circoscrizione di decentramento comunale in Italy
Q610625,Municipi of Milan
Q1410029,list of the municipi of Genoa
Q1584957,Borough of Palermo
Q3677930,quarter of Messina
Q3677936,circoscrizioni di Torino
Q36617857,Crocetta Centre
Q104352269,circoscrizione 2
Q104352457,circoscrizione 3
Q104352503,circoscrizione 4
Q104352619,circoscrizione 5
Q104352735,circoscrizione 6
Q104352803,circoscrizione 7
Q104352895,circoscrizione 8
Q3867179,municipalità of Naples
Q3867183,municipalità of Venice
Q3927244,boroughs of Bologna
Q3927247,borough of Florence
Q16751551,borough of Brescia
Q16751788,circoscrizione of Vicenza
Q16761595,circoscrizione of Treviso
Q17137839,circoscrizione of Verona
Q15195406,city district in Russia
Q4389092,district of Moscow
Q14242187,city district of Nizhny Novgorod
Q15634883,district of Manila
Q15921300,sector of Bucharest
Q17496379,City district in Austria
Q261023,district of Vienna
Q18559008,district of São Paulo
Q21851888,district of the city in the Czech Republic
Q585444,districts of Prague
Q74728036,administrative district of Prague
Q75338598,municipal part of Prague
Q75339006,municipal district of Prague
Q75338598,municipal part of Prague
Q30339232,sector of Chișinău
Q34985575,city district
Q40256562,intracity district of Belarus
Q75135425,district de Barcelone
Q4298922,mixed-use development
Q24887340,Temporary use
Q47012103,mixed-use building
Q63452621,one-plus-five
Q5333096,eco-municipality
Q5377740,district of Tehran
Q5556082,neighbourhood in Tehran
Q5571369,quarter of a city in Italy
Q3927245,quarter of Brescia
Q3927259,quarter of Reggio Calabria
Q3927261,quarter of Naples
Q17135847,quarter of Genoa
Q1487089,Sestieri de Génova
Q17279532,Quarter of Verona
Q18608436,quarter of Florence
Q42961155,quarter of Milan
Q100689072,Quarter of La Spezia
Q100701580,quarter of Cagliari
Q100705184,Quarter of Catania
Q5875137,Hobohemia
Q6344036,neighborhood in Almería
Q6988049,Neighborhood planning unit
Q6988077,neighborhoods in Providence
Q6988097,neighborhood of Jacksonville
Q6988184,neighbourhood of Delhi
Q7551933,mahallah
Q8049262,courtyard neighborhood
Q10267336,neighborhood of Madrid
Q11361229,shitamachi
Q11679959,Outskirt (Al-Andalus)
Q11908565,Barris de Lleida
Q12012287,Grätzl
Q12054099,neighborhood of Jerusalem
Q12411695,שכונות חרדיות בירושלים
Q12063697,"neighborhood of Washington
Q12104567,housing estate
Q12179166,أحياء الخرطوم بحري
Q13645388,luxury real estate
Q13732359,Indische buurt
Q15715406,neighbourhood of Helsinki
Q15830667,quarter of Hamburg
Q15849827,Szeneviertel
Q16363669,sports park
Q16837104,bairro
Q18475442,list of neighbourhoods in Barra da Tijuca
Q19658107,neighborhood of Brazil
Q19886692,neighbourhood of São Paulo
Q20683285,neighbourhood in Rio de Janeiro
Q66626479,Pátio
Q17015330,Neighborhoods of Minneapolis
Q17051044,mahalle
Q17233249,Stadtteil von Stettin
Q17278559,quarter of Bremen
Q17468479,district of Oulu
Q19832914,defined community of Minneapolis
Q17015330,Neighborhoods of Minneapolis
Q20968646,neighborhood of historical district of Moscow
Q22248247,cité d'urgence
Q22833408,"District of the city of Strasbourg
Q23541388,city district of Lappeenranta
Q24067406,жылы раён
Q25391965,city (German language)
Q26844382,district of Tampere
Q27095194,bookshop neighbourhood
Q27554593,stadsdeel in Lublin
Q27702623,academic enclave
Q28052515,Subdivision
Q28372019,neighborhood of Yemen
Q28539166,"quarter of the city of Basel
Q29463880,Quarter of Limassol Municipality
Q31271043,Rīgas apkaimes
Q32597970,Bremerhaven district
Q34982659,quarter of Bucharest
Q39947311,warehouse district
Q40553563,restaurant district
Q47320699,Parish of Nicosia Municipality
Q47320766,Parish of  Ayios Dhometios Municipality
Q47320775,Parish of Strovolos Municipality
Q47320785,Parish of Lakatamia Municipality
Q47320794,Parish of Latsia Municipality
Q47320804,Parish of Dali Municipality
Q47320814,Parish of Kythrea Municipality
Q47320908,Parish of  Morphou Municipality
Q47320925,Parish of Prastio Nicosia
Q47320938,Parish of Spilia
Q47320952,Parish of Karavostasi
Q47320964,Parish of  Xerovounos
Q47325026,Parish of Keryneia Municipality
Q47325112,Parish of Karavas Municipality
Q47325202,Parish of Lapithos Municipality
Q47325770,Parish of Paphos Municipality
Q47325870,Parish of Yeroskipou Municipality
Q47325959,Parish of Polis Chrysochous Municipality
Q47326153,Quarter of Larnaca Municipality
Q47326217,Quarter of Aradippou Municipality
Q47326257,Quarter of Dromolaxia-Meneou Municipality
Q47328627,Parish of Famagusta Municipality
Q47328699,Parish of Aigialousa
Q47328702,Parish of Rizokarpaso
Q48098186,Neighborhoods in Zaragoza
Q54809707,Quarter of Kato Polemidia Municipality
Q54864872,Quarter of Mesa Geitonia Municipality
Q54865711,Quarter of Yermasoyia Municipality
Q54867049,Quarter of Ayios Athanasios Municipality
Q56309822,El Houma
Q61089180,part of municipality in the Czech Republic
Q56398194,core municipal part with the same name as the municipality in the Czech Republic
Q63497359,Quartier canonial
Q65246805,Westend
Q66458650,sociological neighborhood
Q202509,Chinatown
Q61729985,Little Italy
Q66467322,ancien quartier
Q69465104,morería (neighborhood)
Q75021917,neighborhood in Amman
Q75883519,colonia
Q5148198,colonia
Q75884168,colonia of El Salvador
Q75884168,colonia of El Salvador
Q79413632,city part of Innsbruck
Q79414634,Stadtteil von Linz
Q79416466,Neighborhood of Frankfurt
Q79423884,Stadtteil von Leipzig
Q79423998,Stadtteil von Görlitz
Q79424059,Stadtteil von Chemnitz
Q90400139,vilová čtvrť
Q93664896,neighborhood of Jordan
Q97312698,Stadtteil in Hannover
