### Q8514, desert : _wdadd_ 
Q8514,desert
Q319120,erg
Q783129,Deserts of Australia
Q899596,Serir
Q3290007,polar desert
Q5702145,deserts in Iran
Q7940032,Volcanic desert
Q66504178,deserts of Afghanistan and Iran
